trial,order_position,sample_index,sample_id,frame_count,video_total_frames,selected_frame_positions,unique_selected_frame_positions,decode_ms,processor_ms,host_to_device_ms,qwen_backbone_ms,pool_and_linear_ms,total_raw_video_to_scalar_ms,sequence_length
1,1,1,Tune-A-Video/A tennis player elegantly slid on the grass court.mp4,4,24,"[2,9,14,21]",4,40.31299497000873,3.7224171683192253,1.1198630090802908,32.33922692015767,0.21071895025670528,77.71322294138372,446
1,1,2,Tune-A-Video/Children dig sandcastles on the beach.mp4,4,24,"[2,9,14,21]",4,50.8849851321429,4.31480398401618,1.154996920377016,32.93523588217795,0.2064111176878214,89.5056331064552,446
1,1,3,Tune-A-Video/A salad is sprinkled with nuts and fruits.mp4,4,24,"[2,9,14,21]",4,71.68634911067784,4.94332704693079,1.303123077377677,35.35100189037621,0.20102295093238354,113.49604488350451,446
1,1,4,Tune-A-Video/An explorer searches for adventure in the forest.mp4,4,24,"[2,9,14,21]",4,21.810240810737014,3.6433651112020016,1.1181540321558714,31.502466881647706,0.19841408357024193,58.27930383384228,446
1,1,5,Gen-2/An orchid blooms with deep purple flowers.mp4,4,96,"[10,35,60,86]",4,158.83040404878557,8.049163967370987,1.7858378123492002,43.65823999978602,0.2133429516106844,212.5581121072173,446
1,1,6,"Hotshot-XL/The campus has colorful gardens, full of vitality.mp4",4,8,"[1,3,4,6]",4,80.77086415141821,6.9304900243878365,1.624101074412465,39.15125387720764,0.20679691806435585,128.69957112707198,446
1,1,7,VideoCrafter/A bowl of rich French onion soup emanates an enticing aroma.mp4,4,16,"[2,6,9,14]",4,54.4675609562546,6.170517997816205,1.4472780749201775,35.31796601600945,0.2070919144898653,97.62115916237235,446
1,1,8,"VideoCrafter/In front of a farmhouse, there is a swing.mp4",4,16,"[2,6,9,14]",4,69.05796402134001,5.518376128748059,1.4681529719382524,37.48588799498975,0.20012492313981056,113.74223791062832,446
1,1,9,Text2Video-Zero/An orchid blooms with deep purple flowers.mp4,4,36,"[4,13,22,32]",4,60.80662086606026,5.446057999506593,1.5228840056806803,35.507394932210445,0.19297190010547638,103.48848486319184,446
1,1,10,VideoCrafter/An adorable little cat is napping on the windowsill.mp4,4,16,"[2,6,9,14]",4,41.711346013471484,4.612818127498031,1.3833208940923214,32.81877492554486,0.19601290114223957,80.73254209011793,446
1,1,11,Hotshot-XL/A slice of French chocolate mousse cake brings sweet delight.mp4,4,8,"[1,3,4,6]",4,41.082636918872595,3.768177004531026,1.3316359836608171,31.738552963361144,0.19361893646419048,78.12180300243199,446
1,1,12,Hotshot-XL/A lotus leaf floats on a serene pond.mp4,4,8,"[1,3,4,6]",4,36.8837749119848,3.6154051776975393,1.2104581110179424,31.834204914048314,0.1926119439303875,73.74382414855063,446
1,1,13,"VideoCrafter/Students line up in the cafeteria, waiting for lunch.mp4",4,16,"[2,6,9,14]",4,57.035489939153194,3.993961028754711,1.3129040598869324,32.45894704014063,0.19485200755298138,95.00492503866553,446
1,1,14,video_fusion/Military aircraft are neatly lined up on the military base.mp4,4,16,"[2,6,9,14]",4,9.871732909232378,3.092651953920722,1.1955138761550188,31.348706921562552,0.19656913354992867,45.711015816777945,446
1,1,15,"Tune-A-Video/Wandering through a forest path, surrounded by emerald greenery.mp4",4,24,"[2,9,14,21]",4,54.06565708108246,4.293886013329029,1.3850999530404806,32.777674961835146,0.1952450256794691,92.72614703513682,446
1,1,16,video_fusion/An explorer searches for adventure in the forest.mp4,4,16,"[2,6,9,14]",4,10.171334957703948,3.189845010638237,1.2144690845161676,31.330092810094357,0.19408506341278553,46.10596690326929,446
1,1,17,Hotshot-XL/The lion roars majestically on the grassland.mp4,4,8,"[1,3,4,6]",4,60.191788943484426,4.600999876856804,1.3687468599528074,32.489371951669455,0.19347178749740124,98.8543329294771,446
1,1,18,VideoCrafter/A diver is exploring the underwater world under the coral reef.mp4,4,16,"[2,6,9,14]",4,56.25209608115256,4.346701083704829,1.4076258521527052,33.19723205640912,0.1930519938468933,95.40652809664607,446
1,1,19,video_fusion/Soldiers are setting up tents in the camp.mp4,4,16,"[2,6,9,14]",4,9.694756008684635,3.2864350359886885,1.197572099044919,31.30331402644515,0.19489089027047157,45.68292503245175,446
1,1,20,Hotshot-XL/A thin pancake is spread with butter and maple syrup.mp4,4,8,"[1,3,4,6]",4,44.011807069182396,3.2817779574543238,1.2787638697773218,31.515661859884858,0.19200402311980724,80.28668304905295,446
1,1,21,Text2Video-Zero/A sausage is grilled slightly crispy on the barbecue.mp4,4,36,"[4,13,22,32]",4,47.627107007429004,3.36869596503675,1.2388729956001043,31.396134989336133,0.20033307373523712,83.83719716221094,446
1,1,22,Tune-A-Video/Parents pick up students at the bus stop.mp4,4,24,"[2,9,14,21]",4,31.795657007023692,3.258681856095791,1.1747211683541536,31.44418098963797,0.19959709607064724,67.87892407737672,446
